Car_Type,Model_Year,Mileage_thousands_km,Engine_cc,Price_million_IRR
Samand,1398,48,1800,56.5
Pride,1390,126,1500,43.2
Tiba,1401,35,1500,53.5
Tiba,1394,6,1500,53.1
Peugeot,1392,187,2000,80.8
Samand,1392,166,1800,58.1
Tiba,1390,84,1500,34.4
Pride,1394,64,1500,30.0
Samand,1389,100,1800,51.4
Dena,1392,15,1800,127.9
Tiba,1397,91,1500,31.7
Tiba,1391,202,1500,45.0
Peugeot,1386,170,2000,43.0
Pride,1385,168,1500,49.2
Pride,1397,173,1500,35.8
Dena,1392,127,1800,135.1
Tiba,1395,149,1500,38.0
Pride,1400,205,1500,46.8
Dena,1403,28,1800,154.8
Tiba,1388,122,1500,34.8
Samand,1399,234,1800,63.9
Peugeot,1393,208,2000,78.7
Tiba,1393,117,1500,43.3
Pride,1397,30,1500,22.1
Dena,1401,202,1800,92.4
Pride,1398,93,1500,25.5
Samand,1386,37,1800,62.2
Dena,1397,155,1800,124.7
Dena,1392,234,1800,103.7
Samand,1393,86,1800,55.1
Dena,1395,21,1800,125.0
Samand,1397,218,1800,46.8
Samand,1396,171,1800,63.6
Tiba,1385,146,1500,52.8
Pride,1387,162,1500,38.1
Pride,1388,56,1500,42.4
Samand,1395,203,1800,51.7
Tiba,1390,158,1500,42.4
Pride,1398,136,1500,22.5
Pride,1397,172,1500,39.4
Dena,1396,124,1800,100.6
Pride,1389,167,1500,31.6
Peugeot,1391,88,2000,84.0
Tiba,1396,48,1500,44.0
Tiba,1393,208,1500,30.2
Dena,1385,191,1800,114.7
Pride,1386,23,1500,37.0
Tiba,1402,27,1500,30.9
Dena,1397,110,1800,102.8
Samand,1388,206,1800,54.5
Samand,1403,74,1800,61.9
Tiba,1399,94,1500,31.8
Pride,1398,242,1500,42.6
Dena,1390,157,1800,143.8
Samand,1392,186,1800,59.2
Samand,1397,96,1800,49.3
Samand,1391,181,1800,61.0
Dena,1393,238,1800,129.2
Pride,1390,190,1500,20.8
Samand,1386,10,1800,57.2
Dena,1385,68,1800,129.0
Samand,1392,64,1800,53.1
Tiba,1400,128,1500,30.2
Dena,1386,119,1800,94.6
Dena,1396,45,1800,84.6
Pride,1388,2,1500,28.2
Peugeot,1397,8,2000,106.6
Peugeot,1394,54,2000,72.7
Dena,1398,168,1800,93.7
Tiba,1401,158,1500,46.4
Dena,1390,180,1800,137.3
Pride,1394,197,1500,41.1
Peugeot,1396,228,2000,91.3
Samand,1392,90,1800,63.0
Dena,1392,67,1800,157.3
Dena,1391,174,1800,92.2
Samand,1396,35,1800,30.5
Peugeot,1397,183,2000,57.1
Peugeot,1391,168,2000,67.7
Pride,1389,120,1500,37.0
Samand,1402,129,1800,34.4
Dena,1399,33,1800,81.6
Tiba,1397,123,1500,47.2
Pride,1403,186,1500,23.3
Tiba,1387,191,1500,50.4
Tiba,1391,169,1500,44.5
Pride,1395,101,1500,35.4
Samand,1390,90,1800,31.6
Tiba,1388,93,1500,36.0
Tiba,1390,72,1500,42.7
Tiba,1399,234,1500,29.1
Tiba,1387,143,1500,50.9
Pride,1389,246,1500,34.2
Tiba,1391,1,1500,53.2
Samand,1390,124,1800,40.5
Peugeot,1398,139,2000,47.3
Peugeot,1398,231,2000,104.1
Tiba,1401,38,1500,46.3
Tiba,1388,122,1500,28.1
Pride,1387,20,1500,29.0
Samand,1390,68,1800,44.9
Pride,1398,127,1500,25.7
Peugeot,1395,126,2000,44.8
Dena,1395,69,1800,121.3
Samand,1398,197,1800,62.0
Pride,1393,219,1500,22.5
Tiba,1389,3,1500,27.0
Pride,1395,154,1500,41.2
Tiba,1391,7,1500,54.2
Peugeot,1403,205,2000,100.1
Tiba,1386,246,1500,28.7
Samand,1390,35,1800,64.4
Tiba,1397,101,1500,41.3
Dena,1400,167,1800,104.0
Samand,1390,208,1800,50.0
Tiba,1394,12,1500,28.8
Pride,1397,206,1500,41.4
Pride,1387,136,1500,33.9
Tiba,1401,118,1500,38.5
Peugeot,1385,164,2000,85.6
Dena,1388,62,1800,156.6
Peugeot,1398,184,2000,62.8
Tiba,1403,132,1500,47.5
Tiba,1386,182,1500,33.6
Peugeot,1401,199,2000,103.4
Tiba,1402,131,1500,31.6
Samand,1403,138,1800,32.9
Samand,1392,62,1800,50.0
Tiba,1403,62,1500,50.9
Tiba,1385,227,1500,27.2
Pride,1403,248,1500,32.8
Samand,1386,22,1800,50.4
Samand,1391,233,1800,42.4
Pride,1400,185,1500,30.8
Tiba,1393,4,1500,45.9
Dena,1399,155,1800,114.2
Peugeot,1388,136,2000,61.3
Tiba,1400,243,1500,48.8
Tiba,1392,155,1500,37.2
Tiba,1391,172,1500,37.3
Tiba,1400,87,1500,44.4
Peugeot,1393,196,2000,83.9
Dena,1392,139,1800,125.3
Dena,1391,34,1800,150.8
Samand,1401,166,1800,52.0
Peugeot,1403,231,2000,77.8
Dena,1400,200,1800,137.1
Samand,1390,46,1800,54.3
Dena,1394,88,1800,116.6
Samand,1387,34,1800,46.6
Samand,1395,225,1800,44.5
Samand,1395,91,1800,43.8
Samand,1393,71,1800,55.2
Peugeot,1403,128,2000,95.9
Tiba,1400,112,1500,31.7
Dena,1385,177,1800,151.5
Pride,1402,24,1500,26.5
Peugeot,1402,202,2000,108.2
Samand,1398,78,1800,37.8
Dena,1392,86,1800,113.6
Tiba,1395,56,1500,43.5
Tiba,1394,216,1500,40.4
Peugeot,1386,183,2000,103.6
Pride,1385,245,1500,34.6
Tiba,1399,99,1500,34.1
Pride,1391,238,1500,49.4
Peugeot,1386,123,2000,53.1
Samand,1386,186,1800,49.7
Dena,1392,81,1800,85.1
Tiba,1394,117,1500,39.2
Samand,1399,33,1800,58.8
Dena,1396,223,1800,128.0
Samand,1389,4,1800,43.3
Samand,1395,221,1800,30.8
Tiba,1397,164,1500,32.4
Pride,1386,23,1500,45.2
Tiba,1401,7,1500,31.7
Tiba,1399,95,1500,42.0
Pride,1403,207,1500,48.2
Pride,1388,109,1500,21.3
Samand,1388,158,1800,59.6
Dena,1394,188,1800,84.7
Pride,1397,156,1500,23.9
Tiba,1393,181,1500,49.1
Pride,1393,9,1500,32.1
Peugeot,1389,169,2000,50.4
Samand,1403,108,1800,62.5
Pride,1395,47,1500,28.0
Pride,1397,71,1500,36.6
Tiba,1402,187,1500,26.5
Dena,1402,249,1800,91.6
Dena,1399,146,1800,119.7
Samand,1400,136,1800,35.6
Dena,1388,100,1800,135.2
Pride,1391,215,1500,26.7
Peugeot,1391,213,2000,65.3
Tiba,1388,117,1500,49.2
Dena,1387,71,1800,153.8
Peugeot,1397,161,2000,61.9
Peugeot,1394,0,2000,101.9
Samand,1397,15,1800,46.9
Tiba,1398,177,1500,35.1
Tiba,1402,218,1500,25.7
Pride,1390,156,1500,47.4
Dena,1403,110,1800,98.2
Dena,1387,117,1800,148.0
Tiba,1385,128,1500,54.4
Pride,1400,85,1500,20.9
Dena,1391,85,1800,86.2
Tiba,1403,88,1500,40.5
Peugeot,1400,220,2000,101.0
Peugeot,1394,150,2000,41.0
Samand,1396,181,1800,47.4
Peugeot,1391,113,2000,97.4
Dena,1400,88,1800,107.7
Peugeot,1392,68,2000,76.1
Tiba,1388,222,1500,30.6
Dena,1398,127,1800,115.5
Samand,1399,87,1800,33.3
Peugeot,1389,63,2000,106.2
Peugeot,1398,64,2000,80.5
Dena,1403,85,1800,125.5
Tiba,1387,219,1500,54.0
Tiba,1387,218,1500,52.9
Peugeot,1402,88,2000,99.1
Samand,1398,92,1800,47.3
Peugeot,1403,29,2000,70.9
Pride,1394,178,1500,47.7
Samand,1400,231,1800,52.4
Peugeot,1385,126,2000,54.4
Pride,1393,29,1500,45.8
Peugeot,1389,211,2000,77.8
Tiba,1398,12,1500,45.4
Peugeot,1392,91,2000,47.9
Pride,1387,138,1500,24.2
Samand,1387,175,1800,32.3
Peugeot,1400,152,2000,45.7
Tiba,1394,81,1500,26.2
Peugeot,1403,208,2000,65.3
Pride,1400,100,1500,27.4
Pride,1396,119,1500,26.4
Pride,1391,241,1500,39.2
Pride,1390,226,1500,43.0
Peugeot,1399,213,2000,54.2
Tiba,1402,139,1500,52.7
Samand,1400,109,1800,61.6
Peugeot,1386,250,2000,80.3
Peugeot,1402,161,2000,71.5
Tiba,1394,93,1500,53.0
Peugeot,1394,130,2000,58.5
Peugeot,1388,245,2000,90.7
Tiba,1386,162,1500,32.8
Pride,1401,153,1500,33.5
Pride,1395,106,1500,40.7
Samand,1392,187,1800,57.9
Pride,1395,10,1500,37.6
Dena,1390,163,1800,90.8
Peugeot,1394,180,2000,90.8
Tiba,1390,31,1500,48.2
Tiba,1400,113,1500,29.0
Samand,1397,191,1800,61.9
Samand,1387,165,1800,49.9
Dena,1399,36,1800,156.4
Dena,1391,32,1800,129.1
Pride,1391,79,1500,36.8
Dena,1399,114,1800,134.9
Tiba,1398,40,1500,48.5
Pride,1401,48,1500,44.5
Samand,1402,11,1800,47.9
Peugeot,1393,100,2000,61.7
Samand,1387,18,1800,41.3
Peugeot,1387,193,2000,108.3
Dena,1390,241,1800,101.6
Peugeot,1389,245,2000,92.0
Tiba,1399,5,1500,33.8
Dena,1398,110,1800,114.0
Pride,1397,131,1500,20.0
Tiba,1398,240,1500,26.4
Samand,1390,223,1800,36.7
Dena,1400,82,1800,121.6
Samand,1402,45,1800,43.2
Tiba,1387,188,1500,38.7
Samand,1397,248,1800,30.5
Tiba,1403,16,1500,54.7
Dena,1400,182,1800,109.3
Samand,1387,82,1800,44.4
Peugeot,1403,231,2000,92.6
Pride,1387,98,1500,21.2
Peugeot,1396,39,2000,53.7
Pride,1391,157,1500,41.8
Dena,1394,99,1800,130.1
Samand,1387,94,1800,58.5
Pride,1389,141,1500,47.5
Peugeot,1402,83,2000,109.6
Samand,1402,6,1800,39.2
Peugeot,1388,88,2000,54.0
Dena,1399,209,1800,158.0
Samand,1396,90,1800,51.8
Samand,1402,8,1800,37.5
Dena,1388,60,1800,138.7
Samand,1399,74,1800,64.9
Pride,1396,42,1500,29.1
Peugeot,1397,72,2000,109.7
Dena,1390,219,1800,137.6
Tiba,1399,42,1500,29.7
Tiba,1385,177,1500,36.8
Dena,1399,98,1800,87.6
Tiba,1400,60,1500,34.5
Tiba,1385,222,1500,40.1
Tiba,1392,234,1500,46.5
Dena,1389,90,1800,90.9
Pride,1390,50,1500,24.0
Tiba,1385,66,1500,26.3
Samand,1403,44,1800,64.1
Samand,1397,23,1800,56.6
Pride,1399,18,1500,39.2
Samand,1401,150,1800,32.9
Tiba,1387,107,1500,40.0
Samand,1396,108,1800,57.9
Pride,1393,46,1500,36.5
Dena,1400,79,1800,99.5
Samand,1392,181,1800,63.2
Pride,1389,23,1500,35.5
Tiba,1387,183,1500,50.5
Peugeot,1403,74,2000,79.0
Dena,1391,90,1800,117.6
Peugeot,1397,59,2000,42.4
Dena,1391,192,1800,147.8
Tiba,1392,56,1500,42.3
Peugeot,1403,218,2000,86.1
Pride,1402,114,1500,49.3
Tiba,1394,33,1500,43.9
Samand,1385,240,1800,52.9
Samand,1397,87,1800,41.9
Samand,1397,61,1800,32.5
Peugeot,1391,217,2000,81.9
Peugeot,1401,181,2000,56.7
Pride,1390,47,1500,26.3
Peugeot,1387,108,2000,41.6
Peugeot,1394,0,2000,42.3
Samand,1403,8,1800,33.6
Tiba,1387,157,1500,34.6
Peugeot,1391,158,2000,106.2
Tiba,1397,225,1500,49.7
Pride,1401,248,1500,32.6
Pride,1390,204,1500,27.3
Pride,1388,24,1500,31.7
Peugeot,1396,87,2000,47.4
Dena,1391,162,1800,98.4
Peugeot,1392,20,2000,63.6
Pride,1397,230,1500,24.6
Samand,1396,135,1800,65.0
Pride,1386,230,1500,25.3
Samand,1391,161,1800,54.3
Dena,1391,240,1800,124.2
Samand,1402,53,1800,50.9
Tiba,1396,82,1500,25.7
Pride,1389,217,1500,49.8
Pride,1394,91,1500,38.0
Dena,1394,116,1800,126.4
Tiba,1399,113,1500,38.7
Dena,1390,151,1800,149.3
Dena,1388,202,1800,103.8
Tiba,1403,216,1500,54.3
Samand,1393,245,1800,60.8
Tiba,1399,46,1500,34.7
Tiba,1385,135,1500,25.8
Pride,1400,92,1500,26.0
Dena,1403,204,1800,150.9
Pride,1403,163,1500,43.6
Dena,1401,50,1800,142.8
Dena,1389,184,1800,144.4
Pride,1401,148,1500,37.6
Dena,1390,166,1800,149.0
Samand,1393,209,1800,43.9
Dena,1396,51,1800,117.1
Samand,1395,248,1800,40.3
Tiba,1391,38,1500,33.5
Pride,1385,153,1500,37.5
Pride,1403,162,1500,21.0
Pride,1397,155,1500,24.1
Dena,1386,118,1800,83.1
Tiba,1391,55,1500,37.8
Tiba,1400,165,1500,39.0
Dena,1389,158,1800,100.8
Tiba,1396,235,1500,43.9
Dena,1396,14,1800,114.7
Tiba,1400,35,1500,45.8
Samand,1393,208,1800,30.4
Tiba,1389,203,1500,28.6
Tiba,1403,23,1500,25.5
Peugeot,1398,70,2000,72.0
Samand,1396,98,1800,47.7
Samand,1394,73,1800,47.9
Peugeot,1396,204,2000,54.4
Pride,1386,52,1500,29.3
Peugeot,1389,219,2000,96.4
Tiba,1399,43,1500,35.5
Peugeot,1402,133,2000,103.5
Samand,1388,148,1800,52.2
Tiba,1400,105,1500,52.3
Dena,1403,190,1800,141.5
Samand,1403,16,1800,52.7
Peugeot,1389,45,2000,41.2
Tiba,1397,124,1500,44.8
Peugeot,1396,188,2000,99.4
Pride,1403,158,1500,30.3
Dena,1400,146,1800,132.6
Samand,1391,118,1800,44.1
Tiba,1401,224,1500,37.4
Dena,1403,176,1800,86.6
Pride,1389,102,1500,44.7
Tiba,1387,32,1500,47.1
Dena,1386,205,1800,101.6
Pride,1395,201,1500,38.8
Pride,1391,17,1500,44.4
Peugeot,1398,198,2000,106.2
Tiba,1389,40,1500,37.1
Tiba,1394,133,1500,42.5
Tiba,1393,43,1500,54.2
Samand,1396,119,1800,64.1
Pride,1391,150,1500,49.4
Peugeot,1394,107,2000,51.8
Pride,1402,164,1500,44.1
Samand,1393,23,1800,39.7
Pride,1398,46,1500,24.4
Tiba,1389,115,1500,45.3
Dena,1394,173,1800,114.8
Dena,1392,42,1800,103.9
Pride,1395,235,1500,28.2
Tiba,1401,39,1500,42.8
Peugeot,1396,54,2000,106.0
Peugeot,1402,217,2000,79.7
Peugeot,1403,235,2000,69.3
Tiba,1394,196,1500,28.0
Peugeot,1396,226,2000,60.7
Peugeot,1392,115,2000,67.3
Peugeot,1392,38,2000,71.1
Samand,1399,91,1800,37.0
Dena,1402,87,1800,113.2
Samand,1387,135,1800,33.9
Tiba,1390,100,1500,35.2
Pride,1387,44,1500,44.0
Samand,1387,168,1800,49.4
Peugeot,1399,6,2000,61.0
Samand,1385,170,1800,56.0
Peugeot,1394,159,2000,98.9
Dena,1401,213,1800,120.7
Pride,1389,165,1500,49.0
Tiba,1403,240,1500,41.3
Tiba,1400,213,1500,32.3
Dena,1393,137,1800,146.2
Dena,1397,204,1800,135.8
Peugeot,1401,157,2000,93.8
Tiba,1388,154,1500,27.7
Samand,1403,101,1800,34.5
Samand,1395,46,1800,38.3
Pride,1403,132,1500,28.4
Samand,1397,103,1800,50.4
Pride,1399,215,1500,25.7
Samand,1396,50,1800,34.5
Samand,1403,153,1800,43.5
Tiba,1387,86,1500,49.7
Samand,1385,15,1800,61.5
Dena,1392,183,1800,143.2
Tiba,1395,204,1500,52.7
Peugeot,1396,115,2000,85.9
Tiba,1392,207,1500,34.3
Pride,1397,36,1500,26.0
Tiba,1400,195,1500,38.2
Pride,1399,149,1500,25.5
Peugeot,1393,52,2000,73.8
Samand,1399,232,1800,64.3
Samand,1397,202,1800,46.2
Peugeot,1385,52,2000,49.8
Tiba,1386,14,1500,52.1
Tiba,1402,162,1500,43.6
Pride,1392,122,1500,40.2
Dena,1398,70,1800,139.7
Pride,1396,174,1500,21.5
Pride,1400,182,1500,37.9
Tiba,1385,241,1500,42.3
Samand,1391,208,1800,57.9
Tiba,1390,77,1500,46.8
Tiba,1401,12,1500,26.0
Samand,1387,123,1800,41.2
Peugeot,1397,51,2000,67.5
Dena,1391,3,1800,104.3
Pride,1392,178,1500,47.6
Samand,1399,65,1800,37.1
Dena,1400,171,1800,99.2
Pride,1387,74,1500,45.6
Pride,1397,5,1500,28.5
Samand,1400,1,1800,51.7
Samand,1385,147,1800,41.7
Samand,1395,99,1800,30.9
Tiba,1386,69,1500,35.7
Samand,1391,85,1800,31.9
Dena,1385,250,1800,136.9
Tiba,1403,17,1500,32.4
Samand,1403,12,1800,37.1
Pride,1394,32,1500,45.9
Dena,1402,215,1800,105.5
Dena,1386,189,1800,122.8
Peugeot,1394,221,2000,82.6
Pride,1396,36,1500,38.8
Samand,1400,163,1800,52.0
Pride,1391,30,1500,39.3
Pride,1399,241,1500,22.2
Peugeot,1397,11,2000,75.9
Pride,1389,196,1500,37.3
Dena,1396,87,1800,84.6
Tiba,1386,72,1500,36.9
Pride,1393,204,1500,28.6
Pride,1389,61,1500,34.5
Peugeot,1392,177,2000,75.9
Peugeot,1402,170,2000,81.8
Samand,1393,12,1800,45.4
Tiba,1403,45,1500,44.7
Pride,1392,155,1500,27.7
Dena,1395,160,1800,147.9
Tiba,1387,208,1500,45.0
Samand,1385,6,1800,39.5
Samand,1386,51,1800,49.9
Tiba,1394,55,1500,43.3
Peugeot,1398,110,2000,83.3
Tiba,1402,9,1500,26.3
Tiba,1399,7,1500,48.2
Tiba,1389,127,1500,50.6
Tiba,1389,174,1500,31.8
Pride,1402,109,1500,34.6
Dena,1400,218,1800,90.5
Tiba,1385,82,1500,42.5
Samand,1394,226,1800,55.7
Pride,1398,50,1500,23.1
Dena,1397,10,1800,139.7
Samand,1390,134,1800,59.8
Pride,1386,33,1500,37.0
Tiba,1402,138,1500,25.2
Peugeot,1388,0,2000,67.6
Dena,1397,149,1800,93.5
Tiba,1394,248,1500,28.2
Dena,1398,8,1800,105.8
Tiba,1394,250,1500,39.8
Peugeot,1396,41,2000,58.6
Tiba,1397,236,1500,38.8
Samand,1394,130,1800,40.0
Pride,1401,179,1500,29.3
Dena,1386,43,1800,130.6
Peugeot,1388,210,2000,76.6
Peugeot,1396,149,2000,92.4
Peugeot,1396,208,2000,91.9
Peugeot,1401,222,2000,74.1
Tiba,1388,169,1500,50.0
Tiba,1398,37,1500,37.5
Dena,1389,1,1800,99.1
Peugeot,1393,2,2000,88.3
Samand,1399,116,1800,35.9
Dena,1397,39,1800,152.7
Samand,1390,81,1800,47.2
Pride,1401,117,1500,30.3
Samand,1400,144,1800,30.1
Samand,1397,0,1800,54.4
Tiba,1403,212,1500,28.6
Tiba,1396,105,1500,35.0
Pride,1390,28,1500,46.1
Peugeot,1387,240,2000,74.3
Samand,1395,106,1800,41.5
Samand,1391,40,1800,37.9
Pride,1402,86,1500,39.2
Samand,1396,16,1800,63.0
Dena,1388,206,1800,137.7
Dena,1399,8,1800,144.0
Tiba,1403,102,1500,41.5
Peugeot,1395,180,2000,92.7
Samand,1400,7,1800,35.0
Peugeot,1398,221,2000,88.5
Dena,1392,86,1800,116.2
Pride,1401,113,1500,33.2
Samand,1386,96,1800,36.7
Samand,1394,193,1800,58.9
Dena,1403,30,1800,121.9
Samand,1394,39,1800,50.5
Tiba,1388,225,1500,37.9
Pride,1388,93,1500,22.1
Peugeot,1402,72,2000,69.0
Samand,1403,131,1800,64.3
Pride,1395,237,1500,29.2
Tiba,1403,83,1500,28.2
Pride,1385,141,1500,36.5
Tiba,1391,16,1500,45.6
Tiba,1400,62,1500,26.9
Pride,1397,96,1500,30.5
Tiba,1392,158,1500,42.7
Pride,1385,34,1500,38.2
Tiba,1397,63,1500,31.0
Dena,1403,210,1800,136.5
Samand,1403,44,1800,44.0
Pride,1386,152,1500,44.3
Dena,1396,143,1800,110.2
Samand,1394,124,1800,60.8
Pride,1385,54,1500,28.3
Samand,1397,151,1800,37.8
Pride,1402,64,1500,37.9
Dena,1386,191,1800,148.3
Samand,1403,79,1800,53.7
Tiba,1401,109,1500,50.0
Dena,1389,231,1800,156.0
Pride,1388,90,1500,33.7
Dena,1399,110,1800,101.9
Tiba,1393,163,1500,30.9
Pride,1402,224,1500,28.0
Dena,1387,163,1800,103.5
Tiba,1399,126,1500,48.8
Pride,1385,149,1500,30.4
Peugeot,1396,172,2000,41.5
Peugeot,1385,51,2000,106.1
Samand,1388,228,1800,38.9
Pride,1390,177,1500,38.6
Dena,1394,248,1800,118.9
Tiba,1403,79,1500,42.3
Peugeot,1403,177,2000,74.3
Tiba,1401,199,1500,38.8
Peugeot,1403,37,2000,100.7
Pride,1389,70,1500,21.9
Tiba,1391,130,1500,38.7
Dena,1391,132,1800,150.7
Peugeot,1385,151,2000,67.4
Dena,1394,152,1800,82.9
Pride,1400,242,1500,47.1
Samand,1396,120,1800,47.7
Dena,1386,174,1800,135.8
Dena,1387,137,1800,85.2
Samand,1392,8,1800,63.2
Dena,1403,17,1800,114.2
Samand,1389,19,1800,41.1
Tiba,1401,227,1500,40.6
Samand,1388,48,1800,41.9
Dena,1388,201,1800,108.4
Dena,1388,250,1800,133.1
Samand,1399,68,1800,43.5
Pride,1390,36,1500,49.0
Peugeot,1388,110,2000,105.7
Tiba,1385,219,1500,38.4
Pride,1390,175,1500,40.5
Samand,1400,145,1800,35.8
Tiba,1394,198,1500,26.8
Tiba,1385,186,1500,43.8
Tiba,1395,214,1500,28.0
Tiba,1387,77,1500,45.1
Pride,1397,126,1500,21.4
Peugeot,1397,213,2000,95.7
Tiba,1398,187,1500,25.7
Tiba,1385,88,1500,36.6
Pride,1390,112,1500,20.1
Tiba,1394,160,1500,34.9
Peugeot,1399,235,2000,49.4
Pride,1393,234,1500,23.8
Tiba,1388,9,1500,26.6
Tiba,1387,71,1500,48.1
Samand,1397,237,1800,38.9
Tiba,1393,27,1500,54.2
Tiba,1403,215,1500,29.2
Dena,1403,225,1800,108.2
Peugeot,1392,119,2000,68.7
Samand,1400,144,1800,45.2
Tiba,1396,160,1500,30.4
Dena,1386,22,1800,80.7
Pride,1392,29,1500,34.1
Samand,1389,90,1800,50.3
Samand,1390,137,1800,62.2
Dena,1390,155,1800,100.9
Tiba,1394,200,1500,32.6
Peugeot,1400,226,2000,75.1
Pride,1400,137,1500,21.5
Dena,1400,9,1800,118.7
Peugeot,1399,175,2000,107.8
Pride,1394,74,1500,34.0
Samand,1395,173,1800,47.5
Pride,1394,94,1500,41.5
Peugeot,1399,3,2000,77.1
Peugeot,1394,6,2000,55.9
Pride,1399,109,1500,21.9
Peugeot,1392,155,2000,100.0
Dena,1393,212,1800,141.2
Pride,1399,17,1500,22.7
Tiba,1403,187,1500,47.1
Tiba,1396,87,1500,48.3
Dena,1402,114,1800,143.6
Samand,1401,211,1800,30.5
Pride,1401,124,1500,20.2
Samand,1403,0,1800,57.8
Tiba,1386,47,1500,29.9
Pride,1386,43,1500,29.2
Peugeot,1395,171,2000,67.9
Peugeot,1392,150,2000,105.3
Dena,1401,78,1800,116.7
Pride,1388,125,1500,26.9
Pride,1385,249,1500,30.3
Peugeot,1394,137,2000,64.6
Samand,1385,206,1800,56.0
Tiba,1390,53,1500,48.5
Dena,1397,135,1800,146.5
Tiba,1401,98,1500,30.1
Dena,1396,205,1800,114.0
Dena,1396,16,1800,152.9
Samand,1393,146,1800,38.1
Dena,1390,124,1800,118.5
Peugeot,1389,114,2000,74.0
Tiba,1387,22,1500,32.7
Tiba,1392,230,1500,45.8
Tiba,1397,55,1500,47.7
Pride,1394,157,1500,32.4
Tiba,1387,17,1500,51.7
Dena,1400,84,1800,127.0
Samand,1385,26,1800,57.0
Pride,1392,152,1500,34.3
Samand,1395,69,1800,33.8
Peugeot,1385,214,2000,64.0
Dena,1388,242,1800,132.2
Tiba,1388,157,1500,43.5
Pride,1402,232,1500,40.1
Samand,1396,231,1800,33.9
Pride,1386,201,1500,46.3
Tiba,1396,35,1500,41.8
Tiba,1389,17,1500,50.3
Samand,1398,249,1800,64.7
Pride,1396,143,1500,21.6
Dena,1392,157,1800,149.4
Samand,1393,80,1800,63.2
Samand,1401,16,1800,57.6
Samand,1402,38,1800,59.0
Tiba,1397,12,1500,49.6
Peugeot,1386,211,2000,86.5
Peugeot,1394,29,2000,90.4
Samand,1399,139,1800,53.0
Samand,1396,96,1800,55.1
Tiba,1403,225,1500,31.3
Samand,1389,142,1800,34.3
Samand,1388,109,1800,43.3
Peugeot,1387,70,2000,56.5
Peugeot,1389,218,2000,53.4
Peugeot,1390,223,2000,61.6
Pride,1391,184,1500,33.0
Peugeot,1389,80,2000,101.0
Pride,1393,6,1500,43.0
Tiba,1396,247,1500,33.0
Peugeot,1391,236,2000,101.9
Dena,1386,53,1800,141.8
Pride,1387,229,1500,21.1
Dena,1398,141,1800,85.3
Pride,1395,128,1500,42.4
Pride,1396,178,1500,27.1
Tiba,1397,59,1500,40.8
Dena,1403,62,1800,107.3
Tiba,1388,112,1500,47.7
Dena,1397,88,1800,138.7
Samand,1401,148,1800,35.1
Pride,1394,29,1500,23.8
Peugeot,1390,126,2000,87.9
Dena,1394,74,1800,119.1
Samand,1399,199,1800,62.2
Dena,1385,25,1800,94.2
Samand,1394,56,1800,55.2
Tiba,1397,47,1500,49.9
Tiba,1392,30,1500,49.5
Tiba,1396,65,1500,45.3
Samand,1403,219,1800,58.8
Pride,1386,194,1500,25.6
Samand,1398,230,1800,48.9
Peugeot,1402,69,2000,65.9
Dena,1395,186,1800,110.3
Pride,1402,56,1500,30.4
Tiba,1403,9,1500,31.2
Samand,1402,17,1800,43.2
Peugeot,1398,60,2000,100.2
Pride,1401,240,1500,44.8
Peugeot,1390,48,2000,100.7
Dena,1393,135,1800,130.2
Samand,1390,91,1800,37.5
Tiba,1388,5,1500,47.6
Peugeot,1397,4,2000,67.9
Dena,1397,58,1800,90.0
Peugeot,1393,96,2000,92.0
Samand,1385,102,1800,34.3
Samand,1394,84,1800,45.1
Pride,1385,127,1500,34.0
Tiba,1403,10,1500,32.8
Tiba,1391,199,1500,44.1
Samand,1402,144,1800,48.8
Samand,1385,4,1800,50.1
Tiba,1396,193,1500,30.0
Tiba,1396,91,1500,35.5
Tiba,1393,50,1500,28.0
Dena,1392,185,1800,126.7
Dena,1400,59,1800,154.5
Peugeot,1399,21,2000,92.5
Peugeot,1401,157,2000,52.2
Dena,1395,93,1800,114.9
Samand,1400,231,1800,58.0
Peugeot,1402,7,2000,81.5
Pride,1400,189,1500,48.9
Pride,1387,153,1500,28.3
Dena,1400,107,1800,111.2
Peugeot,1394,198,2000,47.5
Samand,1386,38,1800,51.9
Peugeot,1386,175,2000,48.0
Dena,1403,166,1800,95.7
Samand,1390,176,1800,45.3
Dena,1394,119,1800,104.4
Dena,1392,77,1800,126.6
Peugeot,1395,238,2000,48.5
Samand,1386,74,1800,53.3
Pride,1398,222,1500,26.2
Dena,1389,107,1800,104.9
Dena,1394,43,1800,89.9
Samand,1385,163,1800,41.4
Samand,1396,22,1800,55.4
Samand,1385,206,1800,41.2
Pride,1389,229,1500,31.4
Samand,1387,49,1800,52.4
Dena,1389,174,1800,157.8
Dena,1396,162,1800,81.9
Peugeot,1393,201,2000,45.8
Tiba,1391,6,1500,33.6
Samand,1393,221,1800,62.8
Dena,1387,109,1800,140.7
Pride,1387,154,1500,41.7
Samand,1387,71,1800,56.5
Pride,1402,88,1500,31.4
Pride,1401,12,1500,49.8
Pride,1402,239,1500,47.5
Pride,1395,208,1500,48.2
Dena,1389,174,1800,88.3
Peugeot,1392,25,2000,49.8
Dena,1387,153,1800,147.7
Dena,1386,72,1800,116.0
Tiba,1388,48,1500,37.4
Peugeot,1387,41,2000,60.1
Peugeot,1388,209,2000,103.0
Tiba,1391,9,1500,25.9
Tiba,1396,50,1500,42.4
